original_user_id,new_user_id
477,0
5636,1
2565,2
4674,3
5358,4
4278,5
1174,6
4255,7
5310,8
926,9
2250,10
2271,11
2436,12
3373,13
5241,14
2650,15
5485,16
3254,17
4985,18
5021,19
1201,20
1433,21
752,22
3793,23
5897,24
3337,25
1544,26
3199,27
5326,28
5908,29
2238,30
2972,31
5798,32
4075,33
5610,34
1256,35
2512,36
4399,37
2226,38
5144,39
4688,40
526,41
1289,42
6004,43
1847,44
5203,45
5522,46
5060,47
1906,48
34,49
1790,50
2505,51
1680,52
6045,53
3427,54
2974,55
403,56
2198,57
3094,58
6031,59
1737,60
2673,61
3722,62
3589,63
1353,64
3439,65
2427,66
97,67
774,68
675,69
1623,70
3454,71
5589,72
1642,73
2908,74
561,75
483,76
5340,77
727,78
1960,79
1706,80
190,81
172,82
4282,83
706,84
1443,85
4185,86
2019,87
953,88
5557,89
2131,90
4599,91
4036,92
633,93
3856,94
1589,95
5606,96
1545,97
3585,98
4145,99
4802,100
2330,101
1892,102
919,103
4020,104
4898,105
2456,106
4306,107
668,108
5058,109
3388,110
2454,111
5479,112
3050,113
3700,114
362,115
805,116
3166,117
4155,118
2176,119
2923,120
2412,121
2490,122
922,123
255,124
3968,125
3853,126
5714,127
4508,128
3521,129
290,130
2376,131
5044,132
2898,133
1965,134
1546,135
2756,136
3791,137
144,138
1723,139
549,140
5174,141
1647,142
1349,143
5841,144
1245,145
1991,146
3666,147
3023,148
939,149
957,150
2782,151
5151,152
2534,153
4623,154
3493,155
1028,156
5899,157
3989,158
4303,159
5432,160
4897,161
5024,162
1125,163
4293,164
643,165
5063,166
5,167
644,168
5802,169
3452,170
5455,171
4568,172
1267,173
2988,174
5299,175
1564,176
153,177
2739,178
1150,179
681,180
723,181
471,182
4241,183
658,184
1343,185
6067,186
835,187
4980,188
1824,189
5161,190
1730,191
4222,192
6012,193
1736,194
1774,195
3540,196
1758,197
3865,198
5334,199
1675,200
5017,201
2825,202
3681,203
4559,204
4887,205
912,206
1399,207
1757,208
2824,209
1815,210
1929,211
3838,212
5822,213
6043,214
3576,215
6032,216
5677,217
2535,218
5639,219
4077,220
2061,221
5038,222
3328,223
2571,224
1885,225
2274,226
2323,227
4624,228
3,229
225,230
2907,231
2995,232
1902,233
4327,234
5164,235
3761,236
1305,237
492,238
1135,239
5687,240
3139,241
5681,242
1287,243
5963,244
3857,245
822,246
5280,247
5309,248
6030,249
279,250
4765,251
4316,252
4948,253
4247,254
602,255
3162,256
5631,257
5788,258
5524,259
1077,260
3413,261
3606,262
1082,263
221,264
3763,265
5915,266
3408,267
2712,268
5091,269
864,270
5231,271
503,272
5768,273
1654,274
595,275
2975,276
1186,277
514,278
4868,279
2470,280
4452,281
4598,282
2821,283
4320,284
5109,285
5550,286
4740,287
4720,288
4117,289
4620,290
4751,291
4627,292
2129,293
5940,294
4687,295
3725,296
5410,297
3987,298
5218,299
1725,300
5774,301
2251,302
4822,303
3619,304
3071,305
2186,306
5983,307
1302,308
3868,309
705,310
1164,311
4625,312
3623,313
5313,314
74,315
5351,316
4586,317
3813,318
2646,319
3618,320
211,321
5414,322
3988,323
3155,324
394,325
1689,326
2120,327
440,328
3877,329
908,330
1437,331
5142,332
3847,333
5776,334
2013,335
1143,336
1230,337
722,338
4942,339
1994,340
1718,341
4173,342
687,343
1970,344
3609,345
5221,346
6071,347
1749,348
3338,349
1779,350
5074,351
5859,352
868,353
6087,354
5053,355
2439,356
1823,357
2319,358
4673,359
4060,360
4417,361
5786,362
2235,363
1240,364
197,365
1571,366
1527,367
3931,368
163,369
183,370
1607,371
1618,372
4490,373
3412,374
3374,375
1633,376
6093,377
2752,378
1691,379
3261,380
1207,381
2197,382
1603,383
3052,384
2707,385
152,386
3697,387
3773,388
653,389
2178,390
974,391
4791,392
30,393
5571,394
2117,395
5246,396
1236,397
4666,398
1708,399
4894,400
4923,401
2292,402
4641,403
1560,404
219,405
2840,406
5324,407
896,408
1937,409
1921,410
1111,411
341,412
1342,413
1090,414
4248,415
6060,416
5417,417
2973,418
1582,419
4647,420
875,421
2792,422
3566,423
4146,424
5281,425
2574,426
438,427
4667,428
1809,429
1434,430
3938,431
5429,432
1690,433
407,434
3244,435
745,436
790,437
1742,438
2593,439
4929,440
20,441
1324,442
4606,443
2575,444
4777,445
1050,446
2998,447
1905,448
2208,449
434,450
5781,451
5815,452
1549,453
316,454
1845,455
762,456
4196,457
2353,458
4453,459
1089,460
1840,461
5399,462
1802,463
3796,464
1043,465
427,466
1422,467
5157,468
180,469
3344,470
378,471
4830,472
4694,473
4044,474
2917,475
509,476
3034,477
2440,478
3785,479
3628,480
2060,481
4951,482
6094,483
2763,484
1474,485
1878,486
2158,487
998,488
1880,489
5698,490
3280,491
3555,492
1175,493
627,494
3977,495
4445,496
1018,497
5886,498
2692,499
1539,500
3643,501
607,502
3947,503
5920,504
4721,505
3867,506
1042,507
2021,508
4200,509
2431,510
1608,511
3849,512
3100,513
5311,514
2737,515
2027,516
5825,517
4691,518
3627,519
4376,520
954,521
2886,522
5014,523
1712,524
1620,525
4723,526
1383,527
2207,528
4911,529
2024,530
5771,531
22,532
1097,533
4969,534
1088,535
4515,536
2910,537
1226,538
2142,539
1551,540
4828,541
1899,542
785,543
4346,544
5889,545
1980,546
4354,547
2443,548
2280,549
5317,550
5104,551
2724,552
4702,553
1977,554
4502,555
5516,556
4845,557
1874,558
3271,559
4054,560
202,561
947,562
3914,563
1397,564
282,565
4731,566
3876,567
5830,568
655,569
1187,570
2530,571
3731,572
894,573
963,574
2797,575
5073,576
4229,577
5519,578
60,579
3354,580
223,581
5412,582
1212,583
1588,584
4124,585
1897,586
3234,587
453,588
1173,589
2879,590
5659,591
2046,592
750,593
2787,594
1520,595
1640,596
5289,597
7,598
3992,599
3510,600
4565,601
3515,602
24,603
4460,604
3226,605
2163,606
1095,607
3878,608
4165,609
1519,610
3321,611
2661,612
3215,613
1684,614
5896,615
944,616
6026,617
3950,618
521,619
1981,620
4873,621
5183,622
2223,623
4792,624
4756,625
220,626
1033,627
4856,628
4493,629
4262,630
3529,631
5182,632
2037,633
3647,634
2243,635
4933,636
249,637
4848,638
4186,639
5755,640
3186,641
4583,642
5332,643
6065,644
4426,645
4860,646
6010,647
4078,648
312,649
817,650
3438,651
4012,652
5709,653
2203,654
5638,655
436,656
2614,657
5043,658
4051,659
3111,660
3419,661
3742,662
5523,663
512,664
5695,665
6089,666
2587,667
1309,668
5837,669
5239,670
3416,671
623,672
2170,673
2866,674
4818,675
2191,676
3303,677
404,678
5354,679
5795,680
1149,681
2188,682
2872,683
1455,684
1585,685
4325,686
85,687
5735,688
1466,689
2144,690
390,691
2006,692
3615,693
6036,694
4632,695
2072,696
2881,697
3022,698
1218,699
3048,700
1159,701
5591,702
4513,703
3334,704
5268,705
3820,706
2112,707
5114,708
2392,709
1496,710
343,711
3717,712
3478,713
271,714
43,715
4022,716
104,717
5678,718
5713,719
2475,720
5688,721
3043,722
422,723
2375,724
3310,725
5967,726
2402,727
1660,728
3009,729
3345,730
1526,731
4906,732
2123,733
2257,734
6068,735
3900,736
5010,737
3042,738
5871,739
1118,740
1275,741
216,742
4976,743
1441,744
2935,745
704,746
5582,747
6007,748
2590,749
3263,750
4891,751
1328,752
2080,753
2542,754
857,755
5984,756
1199,757
5450,758
1792,759
780,760
1031,761
1533,762
277,763
4357,764
1060,765
1183,766
2359,767
5389,768
4668,769
2453,770
0,771
1789,772
5661,773
5180,774
4108,775
5132,776
1,777
5754,778
2374,779
5882,780
3079,781
61,782
1797,783
1045,784
890,785
2771,786
154,787
130,788
4514,789
5780,790
5928,791
1209,792
1575,793
1301,794
4725,795
913,796
711,797
577,798
5254,799
2201,800
1570,801
4982,802
4974,803
776,804
1138,805
1269,806
3689,807
2130,808
751,809
2184,810
1752,811
4454,812
2256,813
3381,814
4988,815
1281,816
1237,817
5885,818
5544,819
5062,820
3083,821
952,822
5905,823
3594,824
173,825
981,826
4522,827
3502,828
3840,829
3075,830
433,831
4724,832
1093,833
6013,834
2279,835
4578,836
5139,837
2194,838
1674,839
5110,840
6079,841
5265,842
1225,843
4277,844
3449,845
5957,846
4335,847
2252,848
5493,849
5259,850
2406,851
4853,852
3355,853
3117,854
2559,855
3923,856
4928,857
5994,858
3575,859
1764,860
994,861
1890,862
4576,863
4569,864
2732,865
2682,866
6024,867
1411,868
4946,869
1841,870
1940,871
4973,872
5739,873
2058,874
3012,875
3249,876
5152,877
4305,878
5348,879
56,880
3973,881
999,882
5682,883
258,884
5992,885
714,886
5264,887
4110,888
4768,889
5124,890
1181,891
3332,892
2448,893
4456,894
3963,895
1487,896
4488,897
4276,898
1473,899
4813,900
6059,901
334,902
5070,903
3518,904
1515,905
47,906
4071,907
5342,908
4120,909
443,910
246,911
1369,912
5634,913
3494,914
4866,915
2522,916
64,917
342,918
1538,919
5648,920
4861,921
936,922
798,923
3398,924
4695,925
5398,926
3246,927
3113,928
2457,929
1002,930
5742,931
5419,932
3708,933
3674,934
2892,935
734,936
4832,937
3059,938
2820,939
3326,940
4000,941
4253,942
2345,943
4733,944
3592,945
4750,946
228,947
5420,948
3216,949
3204,950
2622,951
3733,952
1724,953
5669,954
3005,955
1961,956
1567,957
100,958
1877,959
2134,960
4920,961
4800,962
6020,963
6017,964
2777,965
810,966
5134,967
5929,968
4503,969
2139,970
2157,971
78,972
2303,973
3778,974
2775,975
1206,976
5298,977
2959,978
1513,979
1735,980
5205,981
3668,982
4102,983
4030,984
5613,985
5446,986
2039,987
596,988
3640,989
187,990
3836,991
4646,992
725,993
5193,994
2819,995
3747,996
199,997
4099,998
2270,999
4843,1000
2076,1001
1280,1002
139,1003
1494,1004
5149,1005
929,1006
2078,1007
1719,1008
4159,1009
2909,1010
3915,1011
3738,1012
4003,1013
4560,1014
1734,1015
2613,1016
2034,1017
4042,1018
1054,1019
1578,1020
4467,1021
4170,1022
1403,1023
834,1024
429,1025
2815,1026
3067,1027
35,1028
4753,1029
2889,1030
4065,1031
1127,1032
1622,1033
2141,1034
3072,1035
1985,1036
895,1037
1913,1038
622,1039
5922,1040
3908,1041
449,1042
853,1043
452,1044
2264,1045
2322,1046
1285,1047
4524,1048
3497,1049
3756,1050
4441,1051
171,1052
1103,1053
3128,1054
1016,1055
3323,1056
5621,1057
3447,1058
3514,1059
5250,1060
1490,1061
893,1062
3959,1063
2672,1064
1339,1065
1643,1066
540,1067
3044,1068
5671,1069
5384,1070
2669,1071
1572,1072
5592,1073
5305,1074
3716,1075
4895,1076
2591,1077
2384,1078
1334,1079
2556,1080
293,1081
1133,1082
2829,1083
4616,1084
5696,1085
3846,1086
1541,1087
3058,1088
1272,1089
217,1090
2942,1091
4475,1092
2331,1093
5071,1094
1080,1095
739,1096
4190,1097
4509,1098
1799,1099
1627,1100
2239,1101
1072,1102
4497,1103
3665,1104
1196,1105
2281,1106
4512,1107
2546,1108
4541,1109
3097,1110
3764,1111
4649,1112
3006,1113
1729,1114
5274,1115
5566,1116
5236,1117
3376,1118
5530,1119
5863,1120
1599,1121
4796,1122
3267,1123
3319,1124
179,1125
1145,1126
5845,1127
907,1128
4083,1129
2314,1130
4092,1131
5525,1132
4846,1133
4427,1134
4258,1135
4412,1136
5064,1137
5501,1138
4410,1139
5925,1140
2822,1141
5553,1142
5823,1143
2099,1144
2233,1145
4296,1146
2229,1147
3806,1148
5640,1149
978,1150
45,1151
4438,1152
1454,1153
2421,1154
1366,1155
5166,1156
2938,1157
4281,1158
2358,1159
5707,1160
4692,1161
2698,1162
3790,1163
2936,1164
4807,1165
5715,1166
5991,1167
1436,1168
659,1169
548,1170
275,1171
5007,1172
2578,1173
2388,1174
1279,1175
5301,1176
507,1177
2751,1178
4401,1179
2327,1180
5199,1181
4772,1182
799,1183
4987,1184
468,1185
5443,1186
5228,1187
2945,1188
5590,1189
3161,1190
2628,1191
